"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.472230543E0,-3.639186621E-1,6.655880809E-1,1.032738876E1
7.496752418E0,-3.830722570E-1,7.517793179E-1,1.009275723E1
7.522531335E0,-4.261679053E-1,8.331822157E-1,1.001614285E1
7.545527543E0,-4.405331016E-1,7.038952708E-1,1.004487324E1
7.567054585E0,-4.261679053E-1,5.937620401E-1,1.007360363E1
7.587725293E0,-4.213795066E-1,5.363011956E-1,1.010712242E1
7.612706376E0,-3.639186621E-1,5.315127969E-1,1.015979481E1
7.636706668E0,-3.734954596E-1,5.841852427E-1,1.015021801E1
7.656725710E0,-3.926490843E-1,7.182605267E-1,1.017416000E1
7.676921293E0,-4.740519226E-1,8.092401624E-1,9.992200851E0
7.697389835E0,-4.165911078E-1,7.086837292E-1,1.006881523E1
7.722555085E0,-4.118026793E-1,6.272808313E-1,1.004966164E1
7.743018918E0,-3.926490843E-1,5.889736414E-1,1.007839203E1
7.766706085E0,-3.687070608E-1,6.703764796E-1,1.011191082E1
7.786781043E0,-4.405331016E-1,7.038952708E-1,1.014542961E1
7.812185085E0,-4.070142806E-1,6.655880809E-1,1.017416000E1
7.836901376E0,-4.548983276E-1,6.655880809E-1,1.013585281E1
7.863022585E0,-4.357447028E-1,5.650315881E-1,1.006881523E1
7.886642876E0,-3.734954596E-1,5.985504389E-1,1.011191082E1
7.911829085E0,-3.974374831E-1,6.272808313E-1,1.008318043E1
7.936820293E0,-4.309563041E-1,6.320692301E-1,1.009754562E1
7.962641251E0,-4.118026793E-1,6.464344859E-1,1.013106441E1
7.986550585E0,-3.782838583E-1,6.560112834E-1,1.016458321E1
8.006943710E0,-5.075707436E-1,7.038952708E-1,1.004966164E1
8.031777876E0,-4.118026793E-1,6.560112834E-1,1.034654236E1
8.056665876E0,-3.447650373E-1,6.033388376E-1,9.896432877E0
8.082749418E0,-4.884171486E-1,5.698199868E-1,1.002571964E1
8.103376751E0,-3.734954596E-1,5.889736414E-1,1.008318043E1
8.126627168E0,-4.070142806E-1,6.464344859E-1,1.015979481E1
8.151671543E0,-4.596867263E-1,7.230489254E-1,1.008318043E1
8.176597918E0,-4.405331016E-1,6.847416759E-1,1.006402683E1
8.196813710E0,-4.692635238E-1,6.416460276E-1,1.010233402E1
8.223084376E0,-4.740519226E-1,5.267243981E-1,1.013585281E1
8.246714085E0,-4.213795066E-1,5.219359994E-1,1.011669922E1
8.267049543E0,-3.974374831E-1,6.224924326E-1,1.018852520E1
8.291859751E0,-3.830722570E-1,6.847416759E-1,1.004966164E1
8.316970293E0,-4.548983276E-1,7.134721279E-1,1.004487324E1
8.342432376E0,-4.022258818E-1,6.895300746E-1,1.012148762E1
8.362479543E0,-4.261679053E-1,6.224924326E-1,1.015500641E1
8.382576918E0,-4.309563041E-1,5.650315881E-1,1.011191082E1
8.403070168E0,-4.022258818E-1,6.416460276E-1,1.012148762E1
8.428623585E0,-4.070142806E-1,6.847416759E-1,1.011669922E1
8.451806293E0,-3.687070608E-1,6.751648784E-1,1.012627602E1
8.471928501E0,-4.692635238E-1,6.464344859E-1,1.010233402E1
8.497275960E0,-4.309563041E-1,6.464344859E-1,1.011669922E1
8.522452460E0,-3.782838583E-1,6.081272364E-1,1.013106441E1
8.542705585E0,-4.261679053E-1,6.560112834E-1,1.009275723E1
8.562713501E0,-3.878606856E-1,6.703764796E-1,1.011669922E1
8.582993001E0,-3.974374831E-1,7.230489254E-1,1.001614285E1
8.607097460E0,-4.501099288E-1,6.655880809E-1,1.018373680E1
8.627311335E0,-3.878606856E-1,6.799532771E-1,1.014542961E1
8.651683835E0,-3.734954596E-1,7.086837292E-1,1.013106441E1
8.671750876E0,-4.788403511E-1,7.565677166E-1,9.747992516E0
8.691999376E0,-4.309563041E-1,7.038952708E-1,1.022204399E1
8.717013001E0,-3.687070608E-1,6.607996821E-1,1.003529644E1
8.737091043E0,-4.836287498E-1,6.368576288E-1,1.004966164E1
8.757106751E0,-3.734954596E-1,6.177040339E-1,1.005445004E1
8.782351418E0,-3.974374831E-1,7.038952708E-1,1.024598598E1
8.802705793E0,-4.357447028E-1,7.565677166E-1,1.006881523E1
8.823185085E0,-4.118026793E-1,8.140285611E-1,1.012627602E1
8.846801251E0,-4.118026793E-1,8.044517636E-1,1.006881523E1
8.871734585E0,-4.357447028E-1,6.272808313E-1,1.015021801E1
8.891920668E0,-3.782838583E-1,6.272808313E-1,1.013585281E1
